YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1957,PRIVATE,86,43.674407746,-79.379741579
1957,PRIVATE,92,43.695475395,-79.39853936
1957,PRIVATE,84,43.726185855,-79.402998395
1957,PRIVATE,98,43.726389083,-79.403108426
1957,PRIVATE,90,43.7260668342,-79.4036329242
1957,PRIVATE,92,43.681900098,-79.405861723
1957,PRIVATE,82,43.7031541679,-79.4167347676
1957,PRIVATE,96,43.6366349836,-79.4276516523
1957,PRIVATE,88,43.6378675818,-79.4294602213
1957,PRIVATE,80,43.7312468474,-79.4350947761
1957,PRIVATE,88,43.689882743,-79.435179809
1957,PRIVATE,75,43.732993608,-79.435337662
1957,PRIVATE,67,43.7308261841,-79.4370615952
1957,PRIVATE,79,43.731732755,-79.438166679
1957,PRIVATE,81,43.731256414,-79.438819074
1957,PRIVATE,82,43.731503933,-79.438923714
1958,PRIVATE,90,43.7350794611,-79.2480505493
1958,PRIVATE,92,43.7281374387,-79.2656668508
1958,PRIVATE,86,43.7287077114,-79.2659054509
1958,PRIVATE,91,43.7234871181,-79.2660288594
1958,PRIVATE,94,43.703984006,-79.297455687
1958,PRIVATE,88,43.7270708607,-79.3014572881
1958,PRIVATE,96,43.7343053211,-79.307065705
1958,PRIVATE,93,43.7093915455,-79.3103269723
1958,PRIVATE,65,43.668927772,-79.315350573
1958,PRIVATE,85,43.675718937,-79.3175243078
1958,PRIVATE,89,43.7275858638,-79.3190299977
1958,PRIVATE,95,43.73795553,-79.344349052
1958,PRIVATE,93,43.6896822346,-79.3460278101
1958,PRIVATE,91,43.6891811387,-79.3538144471
1958,PRIVATE,71,43.715203739,-79.359687151
1958,PRIVATE,84,43.71442413,-79.362206452
1958,PRIVATE,94,43.769190713,-79.379327637
1958,PRIVATE,84,43.708920433,-79.384300946
1958,PRIVATE,86,43.712405306,-79.397432102
1958,PRIVATE,86,43.673524685,-79.402146258
1958,PRIVATE,97,43.7772192847,-79.4056901846
1958,PRIVATE,84,43.669364101,-79.407141875
